nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	gene
6	0.848773350144578	0.0960670869371885	0.00276431218350629	0.000260739849282902	0.0521345108854448	ENSG00000067208
1	0.945015175190791	0.0438054679276651	0.000236079281594576	0	0.0109432775999491	ENSG00000116786
1	0.927531446823674	0.0121368927218476	0.00428335084563535	0	0.0560483096088431	ENSG00000116663
60	0.110471412814632	0.149763948995158	0.0347576626870013	0.046461743077651	0.658545232425558	ENSG00000185909
79	0.0112741064270659	0.0301295353183139	0.0225764430972522	0.0594579527116002	0.876561962445768	ENSG00000129055
1	0.979962659136022	0.0180451750592475	0.000102614137586862	0	0.00188955166714327	ENSG00000118785
1	0.944130297142699	0.0499731885897616	0.000109335642355476	0	0.00578717862518404	ENSG00000151623
8	0.486592016799311	0.0774959273187258	0.0214344388017063	0.00300222984043924	0.411475387239818	ENSG00000138639
1	0.955870405964623	0.0232385378333815	0.00082536188425375	0	0.0200656943177417	ENSG00000153147
1	0.461054537420466	0.278625471732163	0.000430051979096617	0	0.259889938868274	ENSG00000173085
1	0.95053507269364	0.00928567230133956	0.00373104897951332	0	0.0364482060255069	ENSG00000169230
10	0.180778176954963	0.0746115091308876	0.0183830889856033	0.00686778428879922	0.719359440639747	ENSG00000171421
23	0.25830566889503	0.188708400661314	0.0161452701209171	0.0112695556371952	0.525571104685544	ENSG00000112992
5	0.692721353609796	0.121171623099909	0.00469687987490743	0.000640814349540395	0.180769329065847	ENSG00000179344
2	0.268132618098831	0.0125440287830274	0.0299382530882176	0.000711925944048042	0.688673174085876	ENSG00000196735
2	0.586322878659941	0.0274299006148774	0.0160304886878478	0.000380116571625614	0.369836615465708	ENSG00000237541
1	0.901089326220643	0.0214481555126488	0.0031231770422465	0	0.0743393412244623	ENSG00000232629
4	0.626823023544345	0.206180019404532	0.00132209795378348	0.000269470439968737	0.165405388657371	ENSG00000198502
1	0.274120414535553	0.328632246655317	0.000331077826670279	0	0.396916260982459	ENSG00000204525
64	0.0298184784554232	0.0368036150752858	0.038001658563208	0.0460544266739691	0.849321821232114	ENSG00000196284
1	0.397022888315781	0.269706018558822	0.000489873239767641	0	0.332781219885629	ENSG00000204482
2	0.0243295395113322	0.000952658724714833	0.047383943785042	0.000928982787908486	0.926404875191002	ENSG00000169193
158	4.09208530982759e-11	0.00892825052914647	8.34007177722567e-10	0.181156599770366	0.809915148825558	ENSG00000146535
1	0.942430335259535	0.0279169885430062	0.000968334868002468	0	0.0286843413294561	ENSG00000153814
1	0.915520962881555	0.0135346908363936	0.00449481551698806	0	0.0664495307650632	ENSG00000147324
61	0.0026323422293555	0.0302088253720405	0.00480920986347512	0.0542825458014352	0.908067076733693	ENSG00000106780
1	0.8967245726592	0.013910498477438	0.00541193493031037	0	0.0839529939330513	ENSG00000165661
